department_code,department_title,lesson,resource_folder,type,original_path,new_path,new_basename,file_size_bytes
D1,Dział 1,01,02,QUIZ,dzial 1/01/02/Nowy dokument tekstowy.TXT,dzial 1/01/02/D1_L01_02_QUIZ_Nowy_dokument_tekstowy.txt,D1_L01_02_QUIZ_Nowy_dokument_tekstowy.txt,2306
D1,Dział 1,02,02,QUIZ,dzial 1/02/02/Nowy dokument tekstowy.TXT,dzial 1/02/02/D1_L02_02_QUIZ_Nowy_dokument_tekstowy.txt,D1_L02_02_QUIZ_Nowy_dokument_tekstowy.txt,1728
D1,Dział 1,03,02,QUIZ,dzial 1/03/02/Nowy dokument tekstowy.TXT,dzial 1/03/02/D1_L03_02_QUIZ_Nowy_dokument_tekstowy.txt,D1_L03_02_QUIZ_Nowy_dokument_tekstowy.txt,2493
D1,Dział 1,04,02,QUIZ,dzial 1/04/02/Nowy dokument tekstowy.TXT,dzial 1/04/02/D1_L04_02_QUIZ_Nowy_dokument_tekstowy.txt,D1_L04_02_QUIZ_Nowy_dokument_tekstowy.txt,1910
D1,Dział 1,05,02,QUIZ,dzial 1/05/02/Nowy dokument tekstowy.TXT,dzial 1/05/02/D1_L05_02_QUIZ_Nowy_dokument_tekstowy.txt,D1_L05_02_QUIZ_Nowy_dokument_tekstowy.txt,2224
D1,Dział 1,03,04,IMAGE,dzial 1/03/04/1.png,dzial 1/03/04/D1_L03_04_IMAGE_1.png,D1_L03_04_IMAGE_1.png,4574
D1,Dział 1,03,06,IMAGE,dzial 1/03/06/1.png,dzial 1/03/06/D1_L03_06_IMAGE_1.png,D1_L03_06_IMAGE_1.png,9402
D1,Dział 1,03,08,IMAGE,dzial 1/03/08/1.png,dzial 1/03/08/D1_L03_08_IMAGE_1.png,D1_L03_08_IMAGE_1.png,9552
D1,Dział 1,03,10,IMAGE,dzial 1/03/10/1.png,dzial 1/03/10/D1_L03_10_IMAGE_1.png,D1_L03_10_IMAGE_1.png,8546
D2,Dział 2,02,ROOT,QUIZ,dzał 2/02/QIZ.TXT,dzał 2/02/D2_L02_ROOT_QUIZ_QIZ.txt,D2_L02_ROOT_QUIZ_QIZ.txt,2521
D2,Dział 2,02,ROOT,IMAGE,dzał 2/02/Screenshot_1.png,dzał 2/02/D2_L02_ROOT_IMAGE_Screenshot_1.png,D2_L02_ROOT_IMAGE_Screenshot_1.png,9179
D2,Dział 2,04,ROOT,QUIZ,dzał 2/04/quzy.TXT,dzał 2/04/D2_L04_ROOT_QUIZ_quzy.txt,D2_L04_ROOT_QUIZ_quzy.txt,3037
D2,Dział 2,04,ROOT,IMAGE,dzał 2/04/Screenshot_2.png,dzał 2/04/D2_L04_ROOT_IMAGE_Screenshot_2.png,D2_L04_ROOT_IMAGE_Screenshot_2.png,7969
D2,Dział 2,05,03,IMAGE,dzał 2/05/03/1.png,dzał 2/05/03/D2_L05_03_IMAGE_1.png,D2_L05_03_IMAGE_1.png,16031
D2,Dział 2,06,ROOT,QUIZ,dzał 2/06/QUZY.TXT,dzał 2/06/D2_L06_ROOT_QUIZ_QUZY.txt,D2_L06_ROOT_QUIZ_QUZY.txt,2319
