department_code,department_title,collection_id,lesson,resource_folder,type,original_path,new_path,original_basename,new_basename,file_size_bytes,compressed_size_bytes,crc32,suggested_bunny_title
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,01,ROOT,VIDEO,dzial 1/01/ScreenRecorderProject84.mkv,dzial 1/01/D1_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,ScreenRecorderProject84.mkv,D1_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,169511606,23626810,56d82935,D1_L01_ROOT_VIDEO_ScreenRecorderProject84
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,02,ROOT,VIDEO,dzial 1/02/ScreenRecorderProject85.mkv,dzial 1/02/D1_L02_ROOT_VIDEO_ScreenRecorderProject85.mkv,ScreenRecorderProject85.mkv,D1_L02_ROOT_VIDEO_ScreenRecorderProject85.mkv,169519728,31623631,175fb57a,D1_L02_ROOT_VIDEO_ScreenRecorderProject85
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,ROOT,VIDEO,dzial 1/03/ScreenRecorderProject86.mkv,dzial 1/03/D1_L03_ROOT_VIDEO_ScreenRecorderProject86.mkv,ScreenRecorderProject86.mkv,D1_L03_ROOT_VIDEO_ScreenRecorderProject86.mkv,78117375,13552274,d57ff025,D1_L03_ROOT_VIDEO_ScreenRecorderProject86
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,04,ROOT,VIDEO,dzial 1/04/ScreenRecorderProject85.mkv,dzial 1/04/D1_L04_ROOT_VIDEO_ScreenRecorderProject85.mkv,ScreenRecorderProject85.mkv,D1_L04_ROOT_VIDEO_ScreenRecorderProject85.mkv,123543902,24600919,851c6092,D1_L04_ROOT_VIDEO_ScreenRecorderProject85
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,05,ROOT,VIDEO,dzial 1/05/ScreenRecorderProject86.mkv,dzial 1/05/D1_L05_ROOT_VIDEO_ScreenRecorderProject86.mkv,ScreenRecorderProject86.mkv,D1_L05_ROOT_VIDEO_ScreenRecorderProject86.mkv,47387397,10686451,b8dc385b,D1_L05_ROOT_VIDEO_ScreenRecorderProject86
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,01,01,VIDEO,dzial 1/01/01/ScreenRecorderProject84.mkv,dzial 1/01/01/D1_L01_01_VIDEO_ScreenRecorderProject84.mkv,ScreenRecorderProject84.mkv,D1_L01_01_VIDEO_ScreenRecorderProject84.mkv,169511606,23626810,56d82935,D1_L01_01_VIDEO_ScreenRecorderProject84
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,01,02,QUIZ,dzial 1/01/02/Nowy dokument tekstowy.TXT,dzial 1/01/02/D1_L01_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D1_L01_02_QUIZ_Nowy_dokument_tekstowy.txt,2306,1161,04c63095,
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,02,01,VIDEO,dzial 1/02/01/ScreenRecorderProject85.mkv,dzial 1/02/01/D1_L02_01_VIDEO_ScreenRecorderProject85.mkv,ScreenRecorderProject85.mkv,D1_L02_01_VIDEO_ScreenRecorderProject85.mkv,169519728,31623631,175fb57a,D1_L02_01_VIDEO_ScreenRecorderProject85
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,02,02,QUIZ,dzial 1/02/02/Nowy dokument tekstowy.TXT,dzial 1/02/02/D1_L02_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D1_L02_02_QUIZ_Nowy_dokument_tekstowy.txt,1728,901,f1df7ba1,
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,01,VIDEO,dzial 1/03/01/ScreenRecorderProject86.mkv,dzial 1/03/01/D1_L03_01_VIDEO_ScreenRecorderProject86.mkv,ScreenRecorderProject86.mkv,D1_L03_01_VIDEO_ScreenRecorderProject86.mkv,78117375,13552274,d57ff025,D1_L03_01_VIDEO_ScreenRecorderProject86
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,02,QUIZ,dzial 1/03/02/Nowy dokument tekstowy.TXT,dzial 1/03/02/D1_L03_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D1_L03_02_QUIZ_Nowy_dokument_tekstowy.txt,2493,1294,ecabba23,
