department_code,lesson,resource_folder,collection_id,original_path,new_basename,suggested_bunny_title
D1,01,ROOT,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/01/ScreenRecorderProject84.mkv,D1_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,D1_L01_ROOT_VIDEO_ScreenRecorderProject84
D1,02,ROOT,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/02/ScreenRecorderProject85.mkv,D1_L02_ROOT_VIDEO_ScreenRecorderProject85.mkv,D1_L02_ROOT_VIDEO_ScreenRecorderProject85
D1,03,ROOT,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/03/ScreenRecorderProject86.mkv,D1_L03_ROOT_VIDEO_ScreenRecorderProject86.mkv,D1_L03_ROOT_VIDEO_ScreenRecorderProject86
D1,04,ROOT,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/04/ScreenRecorderProject85.mkv,D1_L04_ROOT_VIDEO_ScreenRecorderProject85.mkv,D1_L04_ROOT_VIDEO_ScreenRecorderProject85
D1,05,ROOT,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/05/ScreenRecorderProject86.mkv,D1_L05_ROOT_VIDEO_ScreenRecorderProject86.mkv,D1_L05_ROOT_VIDEO_ScreenRecorderProject86
D1,01,01,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/01/01/ScreenRecorderProject84.mkv,D1_L01_01_VIDEO_ScreenRecorderProject84.mkv,D1_L01_01_VIDEO_ScreenRecorderProject84
D1,02,01,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/02/01/ScreenRecorderProject85.mkv,D1_L02_01_VIDEO_ScreenRecorderProject85.mkv,D1_L02_01_VIDEO_ScreenRecorderProject85
D1,03,01,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/03/01/ScreenRecorderProject86.mkv,D1_L03_01_VIDEO_ScreenRecorderProject86.mkv,D1_L03_01_VIDEO_ScreenRecorderProject86
D1,04,01,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/04/01/ScreenRecorderProject85.mkv,D1_L04_01_VIDEO_ScreenRecorderProject85.mkv,D1_L04_01_VIDEO_ScreenRecorderProject85
D1,05,01,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/05/01/ScreenRecorderProject86.mkv,D1_L05_01_VIDEO_ScreenRecorderProject86.mkv,D1_L05_01_VIDEO_ScreenRecorderProject86
D1,03,03,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/03/03/ScreenRecorderProject89.mkv,D1_L03_03_VIDEO_ScreenRecorderProject89.mkv,D1_L03_03_VIDEO_ScreenRecorderProject89
D1,03,05,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/03/05/ScreenRecorderProject90.mkv,D1_L03_05_VIDEO_ScreenRecorderProject90.mkv,D1_L03_05_VIDEO_ScreenRecorderProject90
D1,03,07,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/03/07/ScreenRecorderProject91.mkv,D1_L03_07_VIDEO_ScreenRecorderProject91.mkv,D1_L03_07_VIDEO_ScreenRecorderProject91
D1,03,09,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/03/09/ScreenRecorderProject92.mkv,D1_L03_09_VIDEO_ScreenRecorderProject92.mkv,D1_L03_09_VIDEO_ScreenRecorderProject92
D1,06,01,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/06/01/ScreenRecorderProject86.mkv,D1_L06_01_VIDEO_ScreenRecorderProject86.mkv,D1_L06_01_VIDEO_ScreenRecorderProject86
D1,06,02,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/06/02/ScreenRecorderProject86.mkv,D1_L06_02_VIDEO_ScreenRecorderProject86.mkv,D1_L06_02_VIDEO_ScreenRecorderProject86
D1,06,03,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,dzial 1/06/03/ScreenRecorderProject87.mkv,D1_L06_03_VIDEO_ScreenRecorderProject87.mkv,D1_L06_03_VIDEO_ScreenRecorderProject87
D2,01,ROOT,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/01/ScreenRecorderProject61.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject61.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject61
D2,03,ROOT,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/03/ScreenRecorderProject63.mkv,D2_L03_ROOT_VIDEO_ScreenRecorderProject63.mkv,D2_L03_ROOT_VIDEO_ScreenRecorderProject63
D2,05,01,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/05/01/ScreenRecorderProject65.mkv,D2_L05_01_VIDEO_ScreenRecorderProject65.mkv,D2_L05_01_VIDEO_ScreenRecorderProject65
D2,05,02,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/05/02/ScreenRecorderProject66.mkv,D2_L05_02_VIDEO_ScreenRecorderProject66.mkv,D2_L05_02_VIDEO_ScreenRecorderProject66
D2,07,01,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/01/ScreenRecorderProject65.mkv,D2_L07_01_VIDEO_ScreenRecorderProject65.mkv,D2_L07_01_VIDEO_ScreenRecorderProject65
D2,07,02,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/02/ScreenRecorderProject68.mkv,D2_L07_02_VIDEO_ScreenRecorderProject68.mkv,D2_L07_02_VIDEO_ScreenRecorderProject68
D2,07,04,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/04/ScreenRecorderProject69.mkv,D2_L07_04_VIDEO_ScreenRecorderProject69.mkv,D2_L07_04_VIDEO_ScreenRecorderProject69
D2,07,06,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/06/ScreenRecorderProject70.mkv,D2_L07_06_VIDEO_ScreenRecorderProject70.mkv,D2_L07_06_VIDEO_ScreenRecorderProject70
D2,07,09,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/09/ScreenRecorderProject72.mkv,D2_L07_09_VIDEO_ScreenRecorderProject72.mkv,D2_L07_09_VIDEO_ScreenRecorderProject72
D2,07,11,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/11/ScreenRecorderProject73.mkv,D2_L07_11_VIDEO_ScreenRecorderProject73.mkv,D2_L07_11_VIDEO_ScreenRecorderProject73
D2,00,01,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/01/ScreenRecorderProject89.mkv,D2_L00_01_VIDEO_ScreenRecorderProject89.mkv,D2_L00_01_VIDEO_ScreenRecorderProject89
D2,00,03,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/03/ScreenRecorderProject90.mkv,D2_L00_03_VIDEO_ScreenRecorderProject90.mkv,D2_L00_03_VIDEO_ScreenRecorderProject90
D2,00,05,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/05/ScreenRecorderProject91.mkv,D2_L00_05_VIDEO_ScreenRecorderProject91.mkv,D2_L00_05_VIDEO_ScreenRecorderProject91
D2,00,07,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/07/ScreenRecorderProject92.mkv,D2_L00_07_VIDEO_ScreenRecorderProject92.mkv,D2_L00_07_VIDEO_ScreenRecorderProject92
D2,01,ROOT,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/01/ScreenRecorderProject84.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject84
